Excipient,Tablet,Pellet,CP,Family,AoR,D10,D25,D50,D75,D90,Span,MPS,BD,TD,HR,CI,Y,K,E,DR5,DR20,DR45,DR75,DR105,DR150,DR210
UF-702,SPIM,EC,60,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,70.83,29.17,0.89,0.6,0.6,0.65,0.55,0.27,0.11
UF-702,SPIM,EC,60,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,73.27,26.73,0.84,0.49,0.64,0.66,0.46,0.31,0.1
UF-702,SPIM,EC,80,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,74.88,25.12,1.35,1.19,1,0.54,0.35,0.11,0.02
UF-702,SPIM,EC,80,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,47.17,52.83,1.16,0.97,0.87,0.58,0.33,0.16,0.06
UF-702,SPIM,EC,80,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,55.71,44.29,1.51,0.65,0.59,0.54,0.38,0.25,0.13
UF-702,SPIM,EC,80,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,37.11,62.89,2.01,1.39,0.95,0.41,0.26,0.04,0.01
UF-702,SPIM,EC,80,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,45.54,54.46,1.53,1.04,0.99,0.49,0.33,0.09,0.01
UF-702,SPIM,AC,20,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,87.13,12.87,0.37,0.24,0.72,0.74,0.45,0.26,0.14
UF-702,SPIM,AC,20,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,90.62,9.38,0.35,0.26,0.57,0.71,0.52,0.28,0.14
UF-702,SPIM,AC,20,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,89.8,10.2,0.28,0.16,0.65,0.78,0.45,0.3,0.11
UF-702,SPIM,AC,20,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,80.83,19.17,0.3,0.33,0.9,0.71,0.4,0.25,0.1
UF-702,SPIM,AC,40,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,100.54,-0.54,0.37,0.28,0.42,0.59,0.55,0.36,0.2
UF-702,SPIM,AC,40,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,100.75,-0.75,0.46,0.27,0.45,0.49,0.56,0.34,0.22
UF-702,SPIM,AC,40,UF,23.9928369,38.47,78.95,127.9,166.9,196.9,1.23870211,123,0.3051,0.42375,1.38888889,0.28,45.98,97.86,2.14,0.3,0.21,0.59,0.65,0.47,0.35,0.19
