Excipient,Tablet,CP,Family,AoR,D10,D25,D50,D75,D90,Span,MPS,BD,TD,HR,CI,Y,K,E,DR5,DR20,DR45,DR75,DR105,DR150,DR210
UF-702,MUPS,60,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,43.28,56.72,1.65,1.23,1.02,0.58,0.21,0.08,0.03
UF-702,MUPS,60,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,34.03,65.97,2.27,1.83,0.89,0.28,0.03,0.10,0.03
UF-702,MUPS,60,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,36.36,63.64,2.67,1.62,0.66,0.30,0.22,0.06,0.04
UF-702,MUPS,60,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,28.37,71.63,2.94,1.82,0.59,0.25,0.14,0.06,0.00
UF-702,MUPS,60,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,40.03,59.97,2.85,1.32,0.60,0.37,0.22,0.10,0.04
UF-702,MUPS,60,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,42.16,57.84,2.21,1.22,0.77,0.37,0.32,0.08,0.03
UF-702,MUPS,80,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,15.29,84.71,4.78,1.86,0.35,0.08,0.02,0.03,-0.02
UF-702,MUPS,80,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,19.03,80.97,3.66,2.12,0.58,0.16,0.05,-0.03,0.01
UF-702,MUPS,80,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,23.76,76.24,3.75,1.97,0.40,0.18,0.10,0.01,0.03
UF-702,MUPS,80,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,16.69,83.31,3.98,2.09,0.44,0.09,0.01,0.02,-0.02
UF-702,MUPS,80,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,27.31,72.69,3.30,1.76,0.52,0.14,0.13,0.09,-0.01
UF-702,MUPS,80,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,22.44,77.56,4.03,1.69,0.50,0.23,0.04,0.02,0.01
UF-702,MUPS,20,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,86.50,13.50,0.12,0.43,0.69,0.67,0.47,0.21,0.15
UF-702,MUPS,20,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,93.77,6.23,0.58,0.60,0.55,0.49,0.40,0.24,0.16
UF-702,MUPS,20,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,99.17,0.83,0.17,0.35,0.51,0.56,0.36,0.29,0.22
UF-702,MUPS,20,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,92.28,7.72,0.69,0.45,0.40,0.43,0.46,0.32,0.17
UF-702,MUPS,40,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,66.67,33.33,0.93,1.00,0.76,0.52,0.32,0.16,0.12
UF-702,MUPS,40,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,80.95,19.05,0.37,0.66,0.64,0.65,0.40,0.23,0.14
UF-702,MUPS,40,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,72.96,27.04,0.39,0.91,0.65,0.63,0.36,0.17,0.12
UF-702,MUPS,40,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,67.16,32.84,0.87,0.90,0.70,0.51,0.34,0.22,0.07
UF-702,MUPS,60,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,52.36,47.64,1.26,1.39,0.82,0.41,0.14,0.14,0.07
UF-702,MUPS,60,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,54.92,45.08,1.29,1.19,0.78,0.42,0.34,0.11,0.07
UF-702,MUPS,60,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,53.93,46.07,1.50,1.20,0.69,0.41,0.26,0.16,0.05
UF-702,MUPS,60,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,60.66,39.34,1.06,1.06,0.68,0.57,0.25,0.19,0.05
UF-702,MUPS,80,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,32.24,67.76,3.22,1.66,0.52,0.32,0.13,0.05,0.02
UF-702,MUPS,80,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,31.56,68.44,2.95,1.98,0.48,0.28,0.08,0.02,0.05
UF-702,MUPS,80,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,35.96,64.04,1.80,1.84,0.89,0.30,0.24,0.03,0.01
UF-702,MUPS,80,UF,23.99283692,38.47,78.95,127.9,166.9,196.9,1.238702111,123,0.3051,0.42375,1.388888889,0.28,45.98,36.83,63.17,2.43,1.80,0.63,0.28,0.17,0.04,0.05
UF-711,MUPS,20,UF,32.96750161,20.65,33.78,52.05,70.6,81.99,1.178482229,51.85,0.2644,0.4196825397,1.587301587,0.37,45.02,81.05,18.95,0.46,0.50,0.56,0.58,0.54,0.29,0.13
UF-711,MUPS,20,UF,32.96750161,20.65,33.78,52.05,70.6,81.99,1.178482229,51.85,0.2644,0.4196825397,1.587301587,0.37,45.02,92.91,7.09,0.15,0.36,0.53,0.52,0.49,0.32,0.21
UF-711,MUPS,20,UF,32.96750161,20.65,33.78,52.05,70.6,81.99,1.178482229,51.85,0.2644,0.4196825397,1.587301587,0.37,45.02,89.81,10.19,0.30,0.31,0.47,0.50,0.53,0.29,0.17
UF-711,MUPS,20,UF,32.96750161,20.65,33.78,52.05,70.6,81.99,1.178482229,51.85,0.2644,0.4196825397,1.587301587,0.37,45.02,86.73,13.27,0.28,0.41,0.51,0.59,0.50,0.29,0.17
UF-711,MUPS,40,UF,32.96750161,20.65,33.78,52.05,70.6,81.99,1.178482229,51.85,0.2644,0.4196825397,1.587301587,0.37,45.02,66.45,33.55,0.67,0.97,0.69,0.58,0.46,0.19,0.11
UF-711,MUPS,40,UF,32.96750161,20.65,33.78,52.05,70.6,81.99,1.178482229,51.85,0.2644,0.4196825397,1.587301587,0.37,45.02,72.87,27.13,0.88,0.65,0.57,0.52,0.40,0.26,0.12
UF-711,MUPS,40,UF,32.96750161,20.65,33.78,52.05,70.6,81.99,1.178482229,51.85,0.2644,0.4196825397,1.587301587,0.37,45.02,64.47,35.53,0.87,0.86,0.67,0.42,0.44,0.23,0.07
UF-711,MUPS,40,UF,32.96750161,20.65,33.78,52.05,70.6,81.99,1.178482229,51.85,0.2644,0.4196825397,1.587301587,0.37,45.02,61.47,38.53,1.73,0.75,0.58,0.52,0.38,0.21,0.09
UF-711,MUPS,60,UF,32.96750161,20.65,33.78,52.05,70.6,81.99,1.178482229,51.85,0.2644,0.4196825397,1.587301587,0.37,45.02,29.14,70.86,1.95,1.13,0.81,0.41,0.34,0.06,0.08
UF-711,MUPS,60,UF,32.96750161,20.65,33.78,52.05,70.6,81.99,1.178482229,51.85,0.2644,0.4196825397,1.587301587,0.37,45.02,35.06,64.94,2.71,1.61,0.86,0.24,0.18,0.05,-0.02
UF-711,MUPS,60,UF,32.96750161,20.65,33.78,52.05,70.6,81.99,1.178482229,51.85,0.2644,0.4196825397,1.587301587,0.37,45.02,30.27,69.73,2.78,1.66,0.58,0.40,0.09,0.04,0.06
